Range_R,Tested_w,Discard_Percentage,Predicted_Time_Sec,Actual_Time_Sec,Is_Predicted_Optimal,Is_Actual_Optimal,Accurate?,
7,4,12.5,0.000881,0.002475,1,0,FALSE,
7,5,0.83,0.001029,0.001643,0,1,FALSE,
7,6,0.83,0.001312,0.003733,0,0,FALSE,
7,7,0,0.001611,0.001882,0,0,FALSE,
7,8,0,0.001952,0.002115,0,0,FALSE,
7,9,0,0.002323,0.005875,0,0,FALSE,
9,4,25,0.001028,0.001312,1,1,TRUE,
9,5,2.5,0.001047,0.002331,0,0,FALSE,
9,6,0,0.001301,0.001553,0,0,FALSE,
9,7,0,0.001611,0.002409,0,0,FALSE,
9,8,0,0.001952,0.004691,0,0,FALSE,
9,9,0,0.002323,0.005571,0,0,FALSE,
10,4,16.67,0.000925,0.001229,1,0,FALSE,
10,5,0,0.001021,0.000981,0,1,FALSE,
10,6,0,0.001301,0.001384,0,0,FALSE,
10,7,0,0.001611,0.004514,0,0,FALSE,
10,8,0,0.001952,0.005801,0,0,FALSE,
10,9,0,0.002323,0.006418,0,0,FALSE,
13,4,45.83,0.001423,0.005217,0,0,FALSE,
13,5,2.5,0.001047,0.004249,1,0,FALSE,
13,6,0.69,0.00131,0.003477,0,0,FALSE,
13,7,0.18,0.001614,0.004905,0,0,FALSE,
13,8,0.02,0.001952,0.003401,0,1,FALSE,
13,9,0,0.002323,0.007534,0,0,FALSE,
23,4,4.17,0.000804,0.001013,1,1,TRUE,
23,5,4.17,0.001065,0.003625,0,0,FALSE,
23,6,0.97,0.001314,0.00216,0,0,FALSE,
23,7,0.06,0.001612,0.005468,0,0,FALSE,
23,8,0,0.001952,0.006072,0,0,FALSE,
23,9,0,0.002323,0.004623,0,0,FALSE,
31,5,22.5,0.001317,0.001659,0,1,FALSE,
31,6,0.97,0.001314,0.002065,1,0,FALSE,
31,7,0.36,0.001617,0.002645,0,0,FALSE,
31,8,0.05,0.001953,0.003894,0,0,FALSE,
31,9,0.01,0.002323,0.004628,0,0,FALSE,
31,10,0,0.002725,0.007758,0,0,FALSE,
41,5,31.67,0.001494,0.005098,0,0,FALSE,
41,6,3.19,0.001344,0.002779,1,0,FALSE,
41,7,0.75,0.001624,0.004618,0,0,FALSE,
41,8,0.04,0.001953,0.003161,0,0,FALSE,
41,9,0.01,0.002323,0.002694,0,1,FALSE,
41,10,0,0.002725,0.004688,0,0,FALSE,
52,5,13.33,0.001178,0.00328,1,1,TRUE,
52,6,6.11,0.001386,0.003467,0,0,FALSE,
52,7,0.95,0.001627,0.004595,0,0,FALSE,
52,8,0.05,0.001953,0.005232,0,0,FALSE,
52,9,0.01,0.002323,0.006743,0,0,FALSE,
52,10,0,0.002725,0.005883,0,0,FALSE,
61,5,49.17,0.002008,0.007122,0,0,FALSE,
61,6,6.81,0.001396,0.003971,1,1,TRUE,
61,7,0.75,0.001624,0.006006,0,0,FALSE,
61,8,0.15,0.001955,0.006348,0,0,FALSE,
61,9,0.01,0.002323,0.006908,0,0,FALSE,
61,10,0,0.002725,0.008627,0,0,FALSE,
119,5,0.83,0.001029,0.001027,1,1,TRUE,
119,6,0.83,0.001312,0.001804,0,0,FALSE,
119,7,0.83,0.001625,0.0026,0,0,FALSE,
119,8,0.24,0.001957,0.002367,0,0,FALSE,
119,9,0.01,0.002323,0.00252,0,0,FALSE,
119,10,0,0.002725,0.00702,0,0,FALSE,
181,6,24.58,0.001725,0.003159,0,0,FALSE,
181,7,3.04,0.001662,0.003421,1,0,FALSE,
181,8,0.34,0.001959,0.002095,0,1,FALSE,
181,9,0.04,0.002324,0.003803,0,0,FALSE,
181,10,0,0.002725,0.005258,0,0,FALSE,
181,11,0,0.003156,0.006865,0,0,FALSE,
241,6,33.06,0.001943,0.002869,0,0,FALSE,
241,7,4.37,0.001685,0.005122,1,0,FALSE,
241,8,0.18,0.001956,0.002377,0,1,FALSE,
241,9,0.05,0.002324,0.005252,0,0,FALSE,
241,10,0,0.002725,0.007662,0,0,FALSE,
241,11,0,0.003156,0.005688,0,0,FALSE,
361,6,49.86,0.002595,0.003444,0,0,FALSE,
361,7,6.88,0.00173,0.00323,1,1,TRUE,
361,8,0.62,0.001964,0.004881,0,0,FALSE,
361,9,0.02,0.002324,0.005572,0,0,FALSE,
361,10,0,0.002725,0.004666,0,0,FALSE,
361,11,0,0.003156,0.008895,0,0,FALSE,
365,6,49.31,0.002566,0.004704,0,0,FALSE,
365,7,5.85,0.001712,0.001942,1,1,TRUE,
365,8,0.42,0.00196,0.003747,0,0,FALSE,
365,9,0.02,0.002324,0.00553,0,0,FALSE,
365,10,0.01,0.002725,0.004702,0,0,FALSE,
365,11,0,0.003156,0.00344,0,0,FALSE,
719,6,0.14,0.001303,0.00374,1,0,FALSE,
719,7,0.14,0.001614,0.003951,0,0,FALSE,
719,8,0.14,0.001955,0.002605,0,1,FALSE,
719,9,0.14,0.002326,0.005791,0,0,FALSE,
719,10,0,0.002725,0.004761,0,0,FALSE,
719,11,0,0.003156,0.004944,0,0,FALSE,
1000,7,0.79,0.001624,0.003063,1,0,FALSE,
1000,8,0.79,0.001968,0.002074,0,1,FALSE,
1000,9,0.24,0.002329,0.004767,0,0,FALSE,
1000,10,0.02,0.002725,0.003058,0,0,FALSE,
1000,11,0,0.003156,0.008558,0,0,FALSE,
1000,12,0,0.003618,0.008206,0,0,FALSE,
1261,7,24.94,0.002147,0.003595,0,1,FALSE,
1261,8,3.05,0.002013,0.005458,1,0,FALSE,
1261,9,0.27,0.002329,0.006518,0,0,FALSE,
1261,10,0.02,0.002725,0.004874,0,0,FALSE,
1261,11,0,0.003156,0.009766,0,0,FALSE,
1261,12,0,0.003618,0.009941,0,0,FALSE,
1681,7,33.29,0.002416,0.007715,0,0,FALSE,
1681,8,4.11,0.002036,0.005988,1,0,FALSE,
1681,9,0.4,0.002333,0.004727,0,0,FALSE,
1681,10,0.03,0.002725,0.002881,0,1,FALSE,
1681,11,0,0.003156,0.003419,0,0,FALSE,
1681,12,0,0.003618,0.0048,0,0,FALSE,
2521,7,49.98,0.003221,0.009039,0,0,FALSE,
2521,8,6.21,0.002081,0.003832,1,0,FALSE,
2521,9,0.66,0.002338,0.003001,0,1,FALSE,
2521,10,0.03,0.002725,0.007669,0,0,FALSE,
2521,11,0,0.003156,0.006994,0,0,FALSE,
2521,12,0,0.003618,0.007638,0,0,FALSE,
5039,7,0.02,0.001612,0.002584,1,1,TRUE,
5039,8,0.02,0.001952,0.005359,0,0,FALSE,
5039,9,0.02,0.002324,0.006838,0,0,FALSE,
5039,10,0.02,0.002725,0.008233,0,0,FALSE,
5039,11,0.01,0.003156,0.009238,0,0,FALSE,
5039,12,0,0.003618,0.008672,0,0,FALSE,
10000,8,0.79,0.001968,0.005893,1,1,TRUE,
10000,9,0.79,0.002342,0.007651,0,0,FALSE,
10000,10,0.24,0.002731,0.007539,0,0,FALSE,
10000,11,0.02,0.003157,0.005954,0,0,FALSE,
10000,12,0,0.003618,0.008996,0,0,FALSE,
10000,13,0,0.00411,0.010519,0,0,FALSE,
